flow_id,config,label,pkt_count,direction_ratio,mean_len,std_len,max_len,min_len,mean_iat,std_iat,max_iat,flow_duration
131.202.x.x_192.168.1.10_0x1035,iscx-replay,video,4679,0.33,1238.25,455.4,1360.0,64.0,0.00441,0.03054,0.09602,20.63
131.202.x.x_192.168.1.10_0x2687,iscx-replay,video,4128,0.66,1154.59,469.4,1360.0,64.0,0.00529,0.03705,0.11643,21.82
131.202.x.x_192.168.1.10_0x6217,iscx-replay,video,3496,0.35,1158.07,428.89,1360.0,64.0,0.00503,0.04735,0.14707,17.58
131.202.x.x_192.168.1.10_0x4965,iscx-replay,video,4007,0.59,1467.65,530.26,1360.0,64.0,0.00434,0.02027,0.06516,17.38
131.202.x.x_192.168.1.10_0x8530,iscx-replay,video,3577,0.67,1254.4,433.44,1360.0,64.0,0.00501,0.04531,0.14093,17.93
131.202.x.x_192.168.1.10_0x6261,iscx-replay,video,3585,0.47,1062.82,466.65,1360.0,64.0,0.00618,0.04792,0.14994,22.17
131.202.x.x_192.168.1.10_0x9357,iscx-replay,video,3065,0.41,1119.85,477.95,1360.0,64.0,0.00518,0.07868,0.2412,15.86
131.202.x.x_192.168.1.10_0x2915,iscx-replay,video,2153,0.45,1200.23,550.86,1360.0,64.0,0.00371,0.07263,0.22161,8.0
131.202.x.x_192.168.1.10_0x5840,iscx-replay,video,2810,0.56,1307.08,446.12,1360.0,64.0,0.00326,0.03146,0.09763,9.16
131.202.x.x_192.168.1.10_0x9281,iscx-replay,video,4157,0.51,1186.82,566.22,1360.0,64.0,0.00251,0.02879,0.08887,10.41
131.202.x.x_192.168.1.10_0x5673,iscx-replay,video,3052,0.61,905.05,484.01,1360.0,64.0,0.00934,0.0696,0.21815,28.51
131.202.x.x_192.168.1.10_0x5206,iscx-replay,video,3011,0.36,1245.05,412.37,1360.0,64.0,0.00482,0.07644,0.23414,14.51
131.202.x.x_192.168.1.10_0x6999,iscx-replay,video,2021,0.69,1178.61,517.12,1360.0,64.0,0.00173,0.05979,0.18111,3.49
131.202.x.x_192.168.1.10_0x5347,iscx-replay,video,3933,0.63,1368.62,500.61,1360.0,64.0,0.00424,0.07989,0.24393,16.69
131.202.x.x_192.168.1.10_0x2591,iscx-replay,video,2531,0.6,1152.67,429.18,1360.0,64.0,0.00604,0.02801,0.09007,15.3
131.202.x.x_192.168.1.10_0x4817,iscx-replay,video,2572,0.63,1387.9,461.9,1360.0,64.0,0.00359,0.06755,0.20625,9.23
131.202.x.x_192.168.1.10_0x5300,iscx-replay,video,2815,0.69,1260.8,430.43,1360.0,64.0,0.00819,0.07063,0.22009,23.05
131.202.x.x_192.168.1.10_0x3107,iscx-replay,video,2095,0.55,1139.36,517.1,1360.0,64.0,0.00424,0.07733,0.23624,8.88
131.202.x.x_192.168.1.10_0x9745,iscx-replay,video,4038,0.61,1236.47,510.09,1360.0,64.0,0.00218,0.02644,0.08149,8.8
131.202.x.x_192.168.1.10_0x6778,iscx-replay,video,2161,0.35,1059.27,481.43,1360.0,64.0,0.00534,0.03846,0.12072,11.54
131.202.x.x_192.168.1.10_0x2463,iscx-replay,video,1995,0.34,1238.23,409.62,1360.0,64.0,0.0044,0.07985,0.24394,8.79
131.202.x.x_192.168.1.10_0x5645,iscx-replay,video,3108,0.54,1268.51,420.17,1360.0,64.0,0.00455,0.06177,0.18987,14.15
131.202.x.x_192.168.1.10_0x4655,iscx-replay,video,2679,0.5,1049.81,425.08,1360.0,64.0,0.00296,0.07658,0.23271,7.93
131.202.x.x_192.168.1.10_0x1185,iscx-replay,video,2470,0.54,1111.2,458.38,1360.0,64.0,0.00642,0.06284,0.19494,15.87
131.202.x.x_192.168.1.10_0x9661,iscx-replay,video,2730,0.61,1022.36,571.2,1360.0,64.0,0.00412,0.06976,0.21339,11.25
131.202.x.x_192.168.1.10_0x4117,iscx-replay,web,181,0.26,938.97,501.84,1360.0,64.0,0.08008,0.13301,0.47911,14.49
131.202.x.x_192.168.1.10_0x9377,iscx-replay,web,87,0.23,1173.49,646.51,1360.0,64.0,0.10328,0.18262,0.65114,8.99
131.202.x.x_192.168.1.10_0x7121,iscx-replay,web,152,0.2,657.7,516.3,1360.0,64.0,0.04359,0.20687,0.66421,6.63
131.202.x.x_192.168.1.10_0x8431,iscx-replay,web,247,0.27,684.36,633.18,1360.0,64.0,0.0657,0.11418,0.40822,16.23
131.202.x.x_192.168.1.10_0x2988,iscx-replay,web,224,0.23,475.3,586.7,1360.0,64.0,0.12993,0.28541,0.98616,29.11
131.202.x.x_192.168.1.10_0x9034,iscx-replay,web,70,0.23,992.97,574.61,1360.0,64.0,0.06032,0.40506,1.2755,4.22
131.202.x.x_192.168.1.10_0x6093,iscx-replay,web,190,0.14,1098.22,458.65,1360.0,64.0,0.1851,0.16762,0.68796,35.17
131.202.x.x_192.168.1.10_0x5975,iscx-replay,web,188,0.1,901.77,445.55,1360.0,64.0,0.01803,0.51412,1.56038,3.39
131.202.x.x_192.168.1.10_0x8384,iscx-replay,web,263,0.21,362.58,486.69,1360.0,64.0,0.02531,0.35696,1.0962,6.66
131.202.x.x_192.168.1.10_0x5231,iscx-replay,web,275,0.27,899.45,568.49,1360.0,64.0,0.00154,0.53337,1.60164,0.42
131.202.x.x_192.168.1.10_0x2531,iscx-replay,web,303,0.15,800.06,548.8,1360.0,64.0,0.17574,0.27615,1.0042,53.25
131.202.x.x_192.168.1.10_0x4140,iscx-replay,web,224,0.11,883.09,644.26,1360.0,64.0,-0.0293,0.21243,0.60799,-6.56
131.202.x.x_192.168.1.10_0x7847,iscx-replay,web,131,0.39,1209.01,466.2,1360.0,64.0,0.15202,0.4886,1.6178,19.91
131.202.x.x_192.168.1.10_0x8932,iscx-replay,web,303,0.31,584.05,405.88,1360.0,64.0,-0.03385,0.1978,0.55956,-10.26
131.202.x.x_192.168.1.10_0x7127,iscx-replay,web,149,0.36,909.51,571.02,1360.0,64.0,0.12179,0.20818,0.74633,18.15
131.202.x.x_192.168.1.10_0x3278,iscx-replay,web,70,0.37,603.85,577.6,1360.0,64.0,0.00492,0.51615,1.55336,0.34
131.202.x.x_192.168.1.10_0x4948,iscx-replay,web,231,0.36,682.29,624.74,1360.0,64.0,0.11722,0.18724,0.67896,27.08
131.202.x.x_192.168.1.10_0x1268,iscx-replay,web,116,0.15,851.93,549.27,1360.0,64.0,0.14061,0.59443,1.92389,16.31
131.202.x.x_192.168.1.10_0x7618,iscx-replay,web,265,0.34,763.57,459.09,1360.0,64.0,0.10021,0.29735,0.99225,26.55
131.202.x.x_192.168.1.10_0x8459,iscx-replay,web,22,0.24,967.27,615.39,1360.0,64.0,0.28832,0.25501,1.05334,6.34
131.202.x.x_192.168.1.10_0x7043,iscx-replay,web,163,0.11,654.77,476.26,1360.0,64.0,0.17045,0.53077,1.76275,27.78
131.202.x.x_192.168.1.10_0x4415,iscx-replay,web,223,0.22,591.26,586.52,1360.0,64.0,0.06365,0.23103,0.75672,14.19
131.202.x.x_192.168.1.10_0x5421,iscx-replay,web,144,0.32,841.86,642.38,1360.0,64.0,0.10909,0.20536,0.72517,15.71
131.202.x.x_192.168.1.10_0x1593,iscx-replay,web,148,0.11,806.3,475.38,1360.0,64.0,0.09515,0.22142,0.7594,14.08
131.202.x.x_192.168.1.10_0x8365,iscx-replay,web,277,0.13,805.55,440.19,1360.0,64.0,0.26983,0.42601,1.54785,74.74
131.202.x.x_192.168.1.10_0x8454,iscx-replay,web,133,0.25,742.52,483.03,1360.0,64.0,0.14784,0.16962,0.6567,19.66
131.202.x.x_192.168.1.10_0x9770,iscx-replay,web,226,0.15,628.53,402.51,1360.0,64.0,0.03398,0.21356,0.67465,7.68
131.202.x.x_192.168.1.10_0x4604,iscx-replay,web,195,0.39,620.55,541.7,1360.0,64.0,0.07332,0.15746,0.54571,14.3
131.202.x.x_192.168.1.10_0x6073,iscx-replay,web,194,0.38,736.9,450.71,1360.0,64.0,0.06215,0.2937,0.94325,12.06
131.202.x.x_192.168.1.10_0x6977,iscx-replay,web,177,0.38,570.71,494.35,1360.0,64.0,0.036,0.47246,1.45337,6.37
131.202.x.x_192.168.1.10_0x4095,iscx-replay,icmp,40,0.33,125.78,0.89,130.78,120.78,1.07051,0.03963,1.1894,42.82
131.202.x.x_192.168.1.10_0x4295,iscx-replay,icmp,29,0.41,122.66,0.97,127.66,117.66,1.10932,0.04952,1.25788,32.17
131.202.x.x_192.168.1.10_0x8817,iscx-replay,icmp,31,0.65,119.9,0.9,124.9,114.9,0.98206,0.03021,1.0727,30.44
131.202.x.x_192.168.1.10_0x9291,iscx-replay,icmp,35,0.64,121.7,1.75,126.7,116.7,0.93899,0.041,1.06198,32.86
131.202.x.x_192.168.1.10_0x9446,iscx-replay,icmp,31,0.36,120.86,1.38,125.86,115.86,1.02717,0.01018,1.05772,31.84
131.202.x.x_192.168.1.10_0x3750,iscx-replay,icmp,33,0.66,115.84,0.32,120.84,110.84,0.9832,0.01767,1.0362,32.45
131.202.x.x_192.168.1.10_0x7224,iscx-replay,icmp,32,0.33,130.27,1.05,135.27,125.27,1.01643,0.02527,1.09223,32.53
131.202.x.x_192.168.1.10_0x2883,iscx-replay,icmp,32,0.41,125.53,1.56,130.53,120.53,0.97589,0.02316,1.04536,31.23
131.202.x.x_192.168.1.10_0x7673,iscx-replay,icmp,26,0.55,125.83,1.36,130.83,120.83,0.93061,0.03839,1.04577,24.2
131.202.x.x_192.168.1.10_0x1447,iscx-replay,icmp,32,0.35,117.62,0.08,122.62,112.62,0.9973,0.0116,1.03209,31.91
131.202.x.x_192.168.1.10_0x7272,iscx-replay,icmp,23,0.65,117.86,0.2,122.86,112.86,1.11588,0.02377,1.18719,25.67
131.202.x.x_192.168.1.10_0x6187,iscx-replay,icmp,37,0.5,119.2,1.85,124.2,114.2,1.01957,0.04852,1.16512,37.72
131.202.x.x_192.168.1.10_0x4638,iscx-replay,icmp,33,0.55,125.41,1.4,130.41,120.41,1.0121,0.03248,1.10953,33.4
131.202.x.x_192.168.1.10_0x3093,iscx-replay,icmp,39,0.7,121.51,2.0,126.51,116.51,1.0814,0.01702,1.13246,42.17
131.202.x.x_192.168.1.10_0x1066,iscx-replay,icmp,31,0.52,119.31,0.56,124.31,114.31,0.99736,0.0365,1.10685,30.92
131.202.x.x_192.168.1.10_0x9704,iscx-replay,icmp,31,0.48,125.79,0.17,130.79,120.79,1.05376,0.04244,1.18108,32.67
131.202.x.x_192.168.1.10_0x4132,iscx-replay,icmp,30,0.59,125.04,0.58,130.04,120.04,0.98064,0.0153,1.02655,29.42
131.202.x.x_192.168.1.10_0x3179,iscx-replay,icmp,33,0.62,122.85,1.8,127.85,117.85,1.04971,0.01542,1.09596,34.64
131.202.x.x_192.168.1.10_0x3963,iscx-replay,icmp,22,0.5,121.63,1.85,126.63,116.63,1.02121,0.03916,1.13868,22.47
131.202.x.x_192.168.1.10_0x2150,iscx-replay,icmp,31,0.69,123.05,0.92,128.05,118.05,1.02954,0.03983,1.14904,31.92
131.202.x.x_192.168.1.10_0x2557,iscx-replay,icmp,30,0.42,127.72,0.03,132.72,122.72,1.00537,0.0447,1.13947,30.16
131.202.x.x_192.168.1.10_0x4420,iscx-replay,icmp,33,0.51,120.86,1.15,125.86,115.86,0.99418,0.01094,1.027,32.81
131.202.x.x_192.168.1.10_0x9319,iscx-replay,icmp,27,0.5,119.28,0.69,124.28,114.28,0.95633,0.02273,1.02452,25.82
131.202.x.x_192.168.1.10_0x7600,iscx-replay,icmp,30,0.69,113.84,0.09,118.84,108.84,0.93243,0.02348,1.00288,27.97
131.202.x.x_192.168.1.10_0x9085,iscx-replay,icmp,29,0.59,124.19,1.55,129.19,119.19,0.9594,0.01127,0.99322,27.82
131.202.x.x_192.168.1.10_0x3972,iscx-replay,icmp,25,0.54,121.15,1.46,126.15,116.15,1.02199,0.01485,1.06655,25.55
131.202.x.x_192.168.1.10_0x3932,iscx-replay,icmp,23,0.37,125.23,0.15,130.23,120.23,0.98817,0.01834,1.04317,22.73
131.202.x.x_192.168.1.10_0x7569,iscx-replay,bulk,4907,0.4,1373.82,73.87,1360.0,64.0,-0.00046,0.00168,0.00458,-2.27
131.202.x.x_192.168.1.10_0x8937,iscx-replay,bulk,2671,0.66,1400.9,44.22,1360.0,64.0,0.00163,0.00436,0.01471,4.37
131.202.x.x_192.168.1.10_0x3882,iscx-replay,bulk,7077,0.62,1195.85,40.86,1360.0,64.0,0.00053,0.00125,0.0043,3.77
131.202.x.x_192.168.1.10_0x4049,iscx-replay,bulk,3965,0.68,1356.74,47.1,1360.0,64.0,0.0003,0.00212,0.00666,1.18
131.202.x.x_192.168.1.10_0x5636,iscx-replay,bulk,2593,0.62,1235.2,75.76,1360.0,64.0,0.00093,0.0045,0.01442,2.4
131.202.x.x_192.168.1.10_0x9336,iscx-replay,bulk,5722,0.32,1393.62,65.46,1360.0,64.0,0.00132,0.00159,0.00608,7.54
131.202.x.x_192.168.1.10_0x1377,iscx-replay,bulk,5676,0.51,1278.87,45.71,1360.0,64.0,0.00174,0.00228,0.00857,9.87
131.202.x.x_192.168.1.10_0x4949,iscx-replay,bulk,3524,0.43,1203.89,34.82,1360.0,64.0,0.00019,0.00133,0.00419,0.67
131.202.x.x_192.168.1.10_0x5848,iscx-replay,bulk,4780,0.67,1280.02,53.55,1360.0,64.0,0.00146,0.00289,0.01011,6.96
131.202.x.x_192.168.1.10_0x2021,iscx-replay,bulk,4847,0.7,1402.82,53.1,1360.0,64.0,0.00166,0.00433,0.01464,8.05
131.202.x.x_192.168.1.10_0x8748,iscx-replay,bulk,5004,0.51,1254.96,68.78,1360.0,64.0,0.0005,0.00159,0.00528,2.48
131.202.x.x_192.168.1.10_0x7215,iscx-replay,bulk,5598,0.35,1221.78,71.08,1360.0,64.0,0.00067,0.00185,0.00623,3.73
131.202.x.x_192.168.1.10_0x8921,iscx-replay,bulk,4444,0.65,1279.7,65.24,1360.0,64.0,0.00199,0.00101,0.00502,8.84
131.202.x.x_192.168.1.10_0x8081,iscx-replay,bulk,5485,0.44,1373.11,45.53,1360.0,64.0,0.00091,0.0017,0.006,4.99
131.202.x.x_192.168.1.10_0x3199,iscx-replay,bulk,4281,0.63,1316.9,63.86,1360.0,64.0,0.00139,0.00154,0.006,5.94
131.202.x.x_192.168.1.10_0x6157,iscx-replay,bulk,4113,0.47,1261.78,66.5,1360.0,64.0,0.00163,0.00391,0.01336,6.69
131.202.x.x_192.168.1.10_0x1008,iscx-replay,bulk,672,0.33,1268.53,23.9,1360.0,64.0,0.00279,0.00159,0.00756,1.88
131.202.x.x_192.168.1.10_0x6096,iscx-replay,bulk,2802,0.39,1232.2,60.2,1360.0,64.0,-0.00025,0.00367,0.01075,-0.7
131.202.x.x_192.168.1.10_0x8499,iscx-replay,bulk,5051,0.62,1301.54,32.32,1360.0,64.0,0.00174,0.00203,0.00782,8.79
131.202.x.x_192.168.1.10_0x1284,iscx-replay,bulk,4212,0.57,1347.74,79.92,1360.0,64.0,0.00079,0.00457,0.0145,3.34
131.202.x.x_192.168.1.10_0x9378,iscx-replay,bulk,5569,0.65,1180.05,64.52,1360.0,64.0,0.00112,0.0027,0.00921,6.25
131.202.x.x_192.168.1.10_0x6673,iscx-replay,bulk,2214,0.6,1267.17,56.92,1360.0,64.0,0.00026,0.00215,0.00672,0.58
131.202.x.x_192.168.1.10_0x5552,iscx-replay,bulk,4691,0.62,1317.08,67.6,1360.0,64.0,-0.00028,0.00478,0.01406,-1.3
131.202.x.x_192.168.1.10_0x8733,iscx-replay,bulk,5808,0.39,1266.93,45.48,1360.0,64.0,0.0005,0.00292,0.00926,2.92
131.202.x.x_192.168.1.10_0x4787,iscx-replay,bulk,8282,0.33,1208.79,24.51,1360.0,64.0,0.00089,0.00311,0.01021,7.36
131.202.x.x_192.168.1.10_0x2962,iscx-replay,bulk,6601,0.63,1352.57,23.5,1360.0,64.0,0.00234,0.0015,0.00685,15.46
131.202.x.x_192.168.1.10_0x8154,iscx-replay,bulk,4049,0.45,1376.84,23.42,1360.0,64.0,0.00312,0.00459,0.0169,12.64
131.202.x.x_192.168.1.10_0x5797,iscx-replay,bulk,3181,0.39,1339.43,69.59,1360.0,64.0,0.00189,0.00324,0.01161,6.02
131.202.x.x_192.168.1.10_0x9440,iscx-replay,bulk,3147,0.49,1407.91,61.27,1360.0,64.0,0.00161,0.00231,0.00854,5.05
131.202.x.x_192.168.1.10_0x7858,iscx-replay,bulk,6493,0.51,1223.75,24.49,1360.0,64.0,0.00101,0.00138,0.00516,6.56
131.202.x.x_192.168.1.10_0x5841,iscx-replay,email,29,0.54,413.01,262.4,1000.0,64.0,0.74666,0.17593,1.27444,21.65
131.202.x.x_192.168.1.10_0x6076,iscx-replay,email,59,0.57,104.38,299.28,1000.0,64.0,0.53071,0.25055,1.28236,31.31
131.202.x.x_192.168.1.10_0x2920,iscx-replay,email,49,0.55,455.82,243.99,1000.0,64.0,0.40229,0.36182,1.48774,19.71
131.202.x.x_192.168.1.10_0x9852,iscx-replay,email,34,0.65,394.28,234.99,1000.0,64.0,0.35958,0.41633,1.60858,12.23
131.202.x.x_192.168.1.10_0x9582,iscx-replay,email,43,0.37,522.14,238.07,1000.0,64.0,-0.00054,0.12431,0.37239,-0.02
131.202.x.x_192.168.1.10_0x4551,iscx-replay,email,50,0.51,396.95,274.59,1000.0,64.0,0.39431,0.52738,1.97644,19.72
131.202.x.x_192.168.1.10_0x5665,iscx-replay,email,70,0.31,239.57,244.89,1000.0,64.0,0.52758,0.14643,0.96686,36.93
131.202.x.x_192.168.1.10_0x9770,iscx-replay,email,51,0.6,300.57,245.65,1000.0,64.0,0.72072,0.18463,1.27459,36.76
131.202.x.x_192.168.1.10_0x5521,iscx-replay,email,72,0.58,415.7,343.13,1000.0,64.0,0.79826,0.379,1.93525,57.47
131.202.x.x_192.168.1.10_0x8349,iscx-replay,email,42,0.57,337.83,211.7,1000.0,64.0,0.54304,0.15046,0.99442,22.81
131.202.x.x_192.168.1.10_0x6973,iscx-replay,email,68,0.38,354.94,250.62,1000.0,64.0,0.26527,0.41398,1.50722,18.04
131.202.x.x_192.168.1.10_0x4778,iscx-replay,email,46,0.51,385.6,313.1,1000.0,64.0,0.74348,0.44707,2.08468,34.2
131.202.x.x_192.168.1.10_0x5364,iscx-replay,email,62,0.36,525.9,336.17,1000.0,64.0,0.3685,0.24884,1.11502,22.85
131.202.x.x_192.168.1.10_0x7741,iscx-replay,email,73,0.53,246.84,292.17,1000.0,64.0,1.01361,0.17442,1.53687,73.99
131.202.x.x_192.168.1.10_0x1226,iscx-replay,email,46,0.36,118.19,309.53,1000.0,64.0,0.70222,0.30633,1.62121,32.3
131.202.x.x_192.168.1.10_0x9396,iscx-replay,email,76,0.5,170.33,326.86,1000.0,64.0,0.79518,0.39456,1.97885,60.43
131.202.x.x_192.168.1.10_0x3645,iscx-replay,email,39,0.57,149.88,220.16,1000.0,64.0,0.43401,0.15329,0.89387,16.93
131.202.x.x_192.168.1.10_0x5337,iscx-replay,email,56,0.41,424.25,308.63,1000.0,64.0,0.71835,0.14739,1.16051,40.23
131.202.x.x_192.168.1.10_0x3487,iscx-replay,email,57,0.54,375.41,244.13,1000.0,64.0,0.24849,0.56572,1.94566,14.16
131.202.x.x_192.168.1.10_0x1810,iscx-replay,email,84,0.67,408.92,220.81,1000.0,64.0,0.78042,0.19694,1.37123,65.56
131.202.x.x_192.168.1.10_0x1389,iscx-replay,email,57,0.39,414.2,290.98,1000.0,64.0,0.51092,0.438,1.82494,29.12
131.202.x.x_192.168.1.10_0x1123,iscx-replay,email,46,0.62,453.74,294.67,1000.0,64.0,0.83741,0.13284,1.23594,38.52
131.202.x.x_192.168.1.10_0x3987,iscx-replay,email,34,0.53,209.6,292.52,1000.0,64.0,0.32867,0.53989,1.94833,11.17
131.202.x.x_192.168.1.10_0x3050,iscx-replay,email,36,0.57,736.29,333.28,1000.0,64.0,0.57069,0.16136,1.05478,20.54
131.202.x.x_192.168.1.10_0x3264,iscx-replay,email,65,0.62,590.03,343.94,1000.0,64.0,0.77302,0.56288,2.46165,50.25
131.202.x.x_192.168.1.10_0x1297,iscx-replay,email,40,0.37,395.03,344.77,1000.0,64.0,0.34396,0.17839,0.87913,13.76
131.202.x.x_192.168.1.10_0x6414,iscx-replay,email,62,0.6,173.91,340.14,1000.0,64.0,1.05587,0.56631,2.7548,65.46
131.202.x.x_192.168.1.10_0x4425,iscx-replay,email,54,0.37,390.06,230.78,1000.0,64.0,0.68424,0.32051,1.64578,36.95
131.202.x.x_192.168.1.10_0x6196,iscx-replay,email,35,0.42,302.4,309.77,1000.0,64.0,0.75475,0.17165,1.2697,26.42
131.202.x.x_192.168.1.10_0x5331,iscx-replay,email,61,0.58,438.78,292.96,1000.0,64.0,0.41124,0.34213,1.43764,25.09
