flow_id,config,label,pkt_count,direction_ratio,mean_len,std_len,max_len,min_len,mean_iat,std_iat,max_iat,flow_duration,esp_mean_len,esp_std_len,esp_min_len,esp_max_len
10.0.0.1_10.0.0.2,tunnel-aes128gcm-curve25519-pfs,voip,779,0.982028241335045,253.93838254172016,25.91734274863448,442,102,0.019284983220627498,0.0036991987767353387,0.02039790153503418,15.003716945648193,211.93838254172016,25.91734274863448,60,400
10.0.0.1_10.0.0.2,transport-aes256gcm-ecp256-pfs,icmp,60,0.5,134.0,0.0,134,134,0.25174398341421356,0.2559247209810782,0.5189368724822998,14.852895021438599,92.0,0.0,92,92
10.0.0.1_10.0.0.2,transport-aes128cbc-sha256-modp2048-pfs,icmp,60,0.5,154.0,0.0,154,154,0.2518006947080968,0.2559735901411858,0.5222210884094238,14.85624098777771,112.0,0.0,112,112
10.0.0.1_10.0.0.2,transport-aes256gcm-ecp256-pfs,bulk,15460,0.9634540750323415,1324.5399741267788,242.414370031831,1374,102,0.0009705758478811313,0.009863829822743905,0.10396409034729004,15.00413203239441,1282.5399741267788,242.414370031831,60,1332
10.0.0.1_10.0.0.2,transport-aes256gcm-ecp256-pfs,web,45515,0.08340107656816434,1266.9475557508513,351.6865940543665,1374,102,0.00026159017352242356,0.026909545540501005,2.9112038612365723,11.906015157699585,1224.9475557508513,351.6865940543665,60,1332
10.0.0.1_10.0.0.2,transport-aes256gcm-ecp256-pfs,video,7390,0.9981055480378891,1344.871447902571,79.18585379903362,1350,82,0.0020300453385830508,0.0002708526978408503,0.0031762123107910156,15.000005006790161,1302.871447902571,79.18585379903362,40,1308
10.0.0.1_10.0.0.2,transport-aes256gcm-ecp256-pfs,voip,781,0.9820742637644047,233.58514724711907,26.622643691350458,406,82,0.019234987099965413,0.0038226515369300554,0.020195960998535156,15.003289937973022,191.58514724711907,26.622643691350458,40,364
10.0.0.1_10.0.0.2,transport-aes128cbc-sha256-modp2048-pfs,bulk,15535,0.9658834888960411,1324.158738332797,230.88119137029312,1370,122,0.0009657139788573967,0.009813996963878722,0.10368108749389648,15.0014009475708,1282.158738332797,230.88119137029312,80,1328
10.0.0.1_10.0.0.2,transport-aes128cbc-sha256-modp2048-pfs,web,48472,0.11385954778016175,1227.1770919293613,396.6136616366834,1370,122,0.00024860906363866563,0.026035583627860626,2.893378973007202,12.05032992362976,1185.1770919293613,396.6136616366834,80,1328
10.0.0.1_10.0.0.2,transport-aes128cbc-sha256-modp2048-pfs,video,7458,0.9981228211316707,1349.3038348082596,75.33118217992399,1354,90,0.0020115348022489584,0.00026803637395839364,0.0055201053619384766,15.000015020370483,1307.3038348082596,75.33118217992399,48,1312
10.0.0.1_10.0.0.2,transport-aes128cbc-sha256-modp2048-pfs,voip,779,0.982028241335045,246.13863928112966,25.031354585748677,442,90,0.019280302187470972,0.0037048785767665616,0.02022409439086914,15.000075101852417,204.13863928112966,25.031354585748677,48,400
10.0.0.1_10.0.0.2,tunnel-weak-3des-sha1-modp1024,icmp,60,0.5,150.0,0.0,150,150,0.25187216774891996,0.25607525081813126,0.5273470878601074,14.86045789718628,108.0,0.0,108,108
10.0.0.1_10.0.0.2,tunnel-weak-3des-sha1-modp1024,bulk,16710,0.9259126271693596,1270.9546379413525,340.5651067825992,1374,118,0.0008984219201042462,0.008458489449565279,0.09276604652404785,15.01173186302185,1228.9546379413525,340.5651067825992,76,1332
10.0.0.1_10.0.0.2,tunnel-weak-3des-sha1-modp1024,web,44734,0.05163857468592122,1288.1873295479948,312.9551689450835,1374,118,0.0003891383538561573,0.028807959411177038,3.5599148273468018,17.407325983047485,1246.1873295479948,312.9551689450835,76,1332
10.0.0.1_10.0.0.2,tunnel-weak-3des-sha1-modp1024,video,7483,0.9981290926099158,1345.0052118134438,77.61066667378965,1350,102,0.0020052910934505344,0.00027018493633612547,0.004011869430541992,15.0035879611969,1303.0052118134438,77.61066667378965,60,1308
10.0.0.1_10.0.0.2,tunnel-weak-3des-sha1-modp1024,voip,781,0.9820742637644047,249.63636363636363,26.58334867404111,438,102,0.019232778365795428,0.0037993926380668567,0.02113509178161621,15.001567125320435,207.63636363636363,26.58334867404111,60,396
fd00::1_fd00::2,tunnel-aes256gcm-ecp256-pfs-ipv6,icmp,60,0.5,194.0,0.0,194,194,0.25162040581137446,0.2558343409868229,0.512253999710083,14.845603942871094,132.0,0.0,132,132
fd00::1_fd00::2,tunnel-aes256gcm-ecp256-pfs-ipv6,bulk,17141,0.91931625926142,1274.5560935768042,331.41253371854833,1374,162,0.0008755313891095904,0.009402115146605518,0.10432600975036621,15.006608009338379,1212.5560935768042,331.41253371854833,100,1312
fd00::1_fd00::2,tunnel-aes256gcm-ecp256-pfs-ipv6,video,7752,0.9983230134158927,1345.5046439628484,72.29927359907381,1350,142,0.001935174674037933,0.0002787166508498374,0.0030651092529296875,14.999538898468018,1283.5046439628484,72.29927359907381,80,1288
fd00::1_fd00::2,tunnel-aes256gcm-ecp256-pfs-ipv6,voip,781,0.9820742637644047,293.61075544174133,26.797520994292572,486,142,0.019234666457543008,0.003826451691630003,0.020200014114379883,15.003039836883545,231.61075544174136,26.797520994292572,80,424
fd00::1_fd00::2,tunnel-aes256gcm-ecp256-pfs-ipv6,web,45950,0.059325353645266594,1301.1503808487487,287.2908430983253,1374,162,0.00027211336796995983,0.027966617240992746,3.0251519680023193,12.503337144851685,1239.1503808487487,287.2908430983253,100,1312
